City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,24.41,78,100,4.9,PF,1671286176
1,tashtagol,52.7657,87.8894,-16.73,97,7,1.03,RU,1671243337
2,bluff,-46.6,168.3333,11.66,84,100,4.89,NZ,1671295696
3,yellowknife,62.456,-114.3525,-25.71,76,40,3.6,CA,1671296637
4,busselton,-33.65,115.3333,19.0,61,6,7.83,AU,1671311017
5,kapaa,22.0752,-159.319,20.18,88,100,4.12,US,1671296998
6,port alfred,-33.5906,26.891,21.77,89,100,0.89,ZA,1671245837
7,mataura,-46.1927,168.8643,10.4,100,100,0.5,NZ,1671295672
8,atuona,-9.8,-139.0333,25.67,76,82,9.59,PF,1671288695
9,arraial do cabo,-22.9661,-42.0278,26.98,73,75,5.66,BR,1671263883
10,cape town,-33.9258,18.4232,27.84,63,6,6.71,ZA,1671247816
11,kensington,-33.9167,151.2167,15.1,89,75,5.14,AU,1671302360
12,potosi,-19.5836,-65.7531,15.36,36,92,3.78,BO,1671269996
13,ushuaia,-54.8,-68.3,12.79,76,75,7.2,AR,1671263418
14,los llanos de aridane,28.6585,-17.9182,19.86,81,75,2.68,ES,1671263888
15,hobart,-42.8794,147.3294,10.59,87,75,3.6,AU,1671301618
16,san cristobal,7.7669,-72.225,24.1,45,31,3.01,VE,1671274495
17,cayenne,4.9333,-52.3333,28.02,74,75,6.17,GF,1671269423
18,butaritari,3.0707,172.7902,27.33,78,78,3.6,KI,1671301611
19,vaini,-21.2,-175.2,21.09,88,20,1.03,TO,1671382499
20,gambela,8.25,34.5833,30.34,41,41,0.9,ET,1671248903
21,punta arenas,-53.15,-70.9167,12.06,47,75,10.29,CL,1671264696
22,mahebourg,-20.4081,57.7,25.7,73,40,5.14,MU,1671240259
23,stellenbosch,-33.9346,18.8668,26.57,62,7,4.29,ZA,1671247708
24,yuncheng,35.0231,110.9928,-4.57,23,0,3.8,CN,1671320301
25,noyabrsk,63.1994,75.4507,-12.61,93,99,6.54,RU,1671251656
26,mar del plata,-38.0023,-57.5575,25.46,68,20,10.8,AR,1671265356
27,maniitsoq,65.4167,-52.9,-5.23,56,100,3.48,GL,1671284857
28,jiaonan,35.8786,119.9753,-4.82,30,3,6.05,CN,1671318281
29,codrington,-38.2667,141.9667,10.85,93,0,4.54,AU,1671303830
30,barrow,71.2906,-156.7887,-22.99,70,0,4.63,US,0
31,albany,42.6001,-73.9662,2.99,81,59,4.24,US,1671279619
32,bambous virieux,-20.3428,57.7575,25.68,73,40,5.14,MU,1671240253
33,hermanus,-34.4187,19.2345,24.33,73,79,8.52,ZA,1671247541
34,leo,11.1,-2.1,35.32,9,7,3.73,BF,1671258013
35,huarmey,-10.0681,-78.1522,23.13,75,63,4.48,PE,1671274050
36,chivay,-15.6383,-71.6011,14.22,52,99,1.74,PE,1671271860
37,shirokiy,49.758,129.523,-29.98,96,100,2.59,RU,1671318880
38,marmashen,40.8349,43.7779,-0.62,80,1,3.09,AM,1671251004
39,jamestown,42.097,-79.2353,-0.16,68,100,6.26,US,1671280784
40,saskylakh,71.9167,114.0833,-38.13,100,55,2.23,RU,0
41,nikolskoye,59.7035,30.7861,-19.83,100,56,0.27,RU,1671259983
42,baghdad,33.3406,44.4009,14.95,77,0,4.12,IQ,1671249594
43,paceco,37.9787,12.5566,15.77,94,20,2.57,IT,1671257986
44,camacupa,-12.0167,17.4833,22.18,81,92,1.93,AO,1671250879
45,yanji,42.9075,129.5078,-16.71,60,68,5.1,CN,1671317264
46,provideniya,64.3833,-173.3,-5.15,80,100,7.25,RU,1671398997
47,adrar,20.5022,-10.0711,27.93,19,41,5.23,MR,1671260978
48,rahuri,19.3833,74.65,24.64,52,20,2.8,IN,1671240506
49,langarud,37.197,50.1535,12.03,92,99,0.22,IR,1671248826
50,barcelos,41.5388,-8.6151,14.82,86,82,2.04,PT,1671263718
51,zhigansk,66.7697,123.3711,-42.92,98,94,3.38,RU,1671331430
52,clyde river,70.4692,-68.5914,-9.87,79,100,4.63,CA,0
53,christchurch,-43.5333,172.6333,16.06,87,100,4.12,NZ,1671295399
54,hobyo,5.3505,48.5268,26.11,72,11,8.32,SO,1671245252
55,new norfolk,-42.7826,147.0587,10.4,73,9,1.03,AU,1671301705
56,deputatskiy,69.3,139.9,-38.59,99,68,1.45,RU,0
57,bredasdorp,-34.5322,20.0403,21.32,72,83,6.17,ZA,1671247329
58,northam,51.0333,-4.2167,4.66,82,93,4.86,GB,1671264916
59,taksimo,56.3444,114.8794,-28.37,98,100,0.7,RU,1671324621
60,lebu,-37.6167,-73.65,17.6,70,1,6.69,CL,1671269289
61,jumla,29.2747,82.1838,4.56,35,0,2.16,NP,1671239938
62,camacha,33.0833,-16.3333,18.68,68,40,6.69,PT,1671264138
63,poum,-20.2333,164.0167,26.64,75,4,5.5,NC,1671301181
64,itoman,26.1247,127.6694,16.01,67,75,14.4,JP,1671315032
65,el alto,-4.2714,-81.2147,24.81,64,100,4.02,PE,1671275401
66,yulara,-25.2406,130.9889,20.12,55,100,6.56,AU,1671308478
67,georgetown,5.4112,100.3354,27.16,82,20,1.54,MY,1671319250
68,hajnowka,52.7433,23.5812,-6.78,93,100,4.45,PL,1671258772
69,henties bay,-22.116,14.2845,20.19,80,12,4.74,NA,1671250472
70,qaanaaq,77.484,-69.3632,-19.59,70,80,4.27,GL,0
71,zeya,53.75,127.2667,-24.72,88,100,1.68,RU,1671320658
72,tiksi,71.6872,128.8694,-35.08,99,88,1.6,RU,0
73,diplo,24.4667,69.584,24.63,21,42,1.41,PK,1671242334
74,avera,33.194,-82.5271,10.21,57,97,4.93,US,1671280047
75,namibe,-15.1961,12.1522,23.38,68,100,5.41,AO,1671251804
76,salalah,17.0151,54.0924,28.05,24,0,6.17,OM,1671245171
77,washington,47.5001,-120.5015,-7.51,78,100,0.38,US,1671291883
78,khatanga,71.9667,102.5,-20.55,100,98,2.48,RU,0
79,krasnoselkup,65.7,82.4667,-14.85,95,100,8.02,RU,1671252741
80,upernavik,72.7868,-56.1549,-12.35,60,100,2.66,GL,0
81,victoria,22.2855,114.1577,13.51,41,100,2.68,HK,1671317797
82,bendigo,-36.7667,144.2833,12.14,47,0,1.34,AU,1671303544
83,sao raimundo das mangabeiras,-7.0219,-45.4811,25.95,80,100,1.41,BR,1671266533
84,sinjar,36.3209,41.8754,13.27,56,0,1.09,IQ,1671250668
85,airai,-8.9266,125.4092,15.85,94,100,0.38,TL,1671311730
86,thompson,55.7435,-97.8558,-20.17,83,100,4.63,CA,1671289014
87,geraldton,-28.7667,114.6,21.23,73,51,4.63,AU,1671311930
88,ileza,61.0533,43.9002,-16.64,99,100,1.11,RU,1671257642
89,coquimbo,-29.9533,-71.3436,17.63,76,95,2.71,CL,1671269974
90,ayan,56.45,138.1667,-24.25,78,62,9.42,RU,1671319074
91,tapejara,-28.0681,-52.0139,24.35,45,47,1.63,BR,1671265603
92,chernyshevskiy,63.0128,112.4714,-38.76,100,100,1.4,RU,1671329069
93,ilulissat,69.2167,-51.1,-9.99,57,40,4.12,GL,0
